CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,LATITUDE,LONGITUDE,LAT_LON,PATROL_BORO,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,:@COMPUTED_REGION_EFSH_H5XI,:@COMPUTED_REGION_F5DN_YRER,:@COMPUTED_REGION_YEJI_BK3Q,:@COMPUTED_REGION_92FQ_4B7Q,:@COMPUTED_REGION_SBQJ_ENIH,CMPLNT_TO_DT,CMPLNT_TO_TM,PARKS_NM,TRANSIT_DISTRICT,STATION_NAME,Year
199019752,2013-03-08,00:25:00,73,2013-03-08,235,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,BROOKLYN,,STREET,N.Y. POLICE DEPT,0,,NA,1009718,176945,,,,40.652321412,-73.908217929,"{'latitude': '40.652321412', 'longitude': '-73.908217929'}",PATROL BORO BKLYN NORTH,,UNKNOWN,E,13827,55,2,25,46,2013-03-08,00:30:00,NA,,,2013.0
301330396,2013-02-15,15:30:00,62,2013-02-17,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0,,NA,988452,160609,,WHITE,M,40.607518155,-73.984868118,"{'latitude': '40.607518155', 'longitude': '-73.984868118'}",PATROL BORO BKLYN SOUTH,,WHITE,F,16867,1,2,18,37,2013-02-15,15:45:00,NA,,,2013.0
551736262,2013-12-27,13:00:00,5,2013-12-27,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,CLOTHING/BOUTIQUE,N.Y. POLICE DEPT,0,,NA,983608,201188,,,,40.718899507,-74.002317446,"{'latitude': '40.718899507', 'longitude': '-74.002317446'}",PATROL BORO MAN SOUTH,,UNKNOWN,D,12076,56,4,32,1,2013-12-27,13:35:00,NA,,,2013.0
656307374,2013-06-01,06:30:00,70,2013-06-02,107,BURGLARY,223,"BURGLARY,RESIDENCE,NIGHT",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,NA,994182,166046,,,,40.622437029,-73.964223776,"{'latitude': '40.622437029', 'longitude': '-73.964223776'}",PATROL BORO BKLYN SOUTH,45-64,WHITE,M,13513,60,2,18,43,2013-06-02,01:45:00,NA,,,2013.0
807980469,2013-03-22,19:30:00,1,2013-03-22,344,ASSAULT 3 & RELATED OFFENSES,114,OBSTR BREATH/CIRCUL,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,NA,979535,198035,25-44,WHITE,F,40.71024404,-74.017008485,"{'latitude': '40.71024404', 'longitude': '-74.017008485'}",PATROL BORO MAN SOUTH,45-64,WHITE,M,10367,56,4,32,1,2013-03-22,19:44:00,NA,,,2013.0
136974187,2013-04-15,18:00:00,44,2013-04-15,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,NA,1004546,244494,25-44,WHITE HISPANIC,M,40.837739758,-73.926653338,"{'latitude': '40.837739758', 'longitude': '-73.926653338'}",PATROL BORO BRONX,25-44,WHITE HISPANIC,F,10930,50,5,42,27,2013-04-15,18:30:00,NA,,,2013.0
624333492,2013-04-03,18:15:00,94,2013-04-03,121,CRIMINAL MISCHIEF & RELATED OF,267,"MISCHIEF, CRIMINAL 3 & 2, OF M",COMPLETED,FELONY,BROOKLYN,,HIGHWAY/PARKWAY,N.Y. POLICE DEPT,0,,NA,997313,204100,,WHITE HISPANIC,M,40.726882624,-73.952871348,"{'latitude': '40.726882624', 'longitude': '-73.952871348'}",PATROL BORO BKLYN NORTH,45-64,ASIAN / PACIFIC ISLANDER,M,18182,36,2,38,57,2013-04-03,18:30:00,NA,,,2013.0
197019640,2013-10-02,11:00:00,61,2013-10-03,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,BROOKLYN,,STREET,N.Y. POLICE DEPT,0,,NA,995244,155739,,,,40.594145169,-73.960414952,"{'latitude': '40.594145169', 'longitude': '-73.960414952'}",PATROL BORO BKLYN SOUTH,18-24,WHITE,F,18183,32,2,15,36,2013-10-03,09:00:00,NA,,,2013.0
861571454,2013-08-02,19:00:00,19,2013-08-03,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,,NA,997955,224759,,,,40.783585352,-73.950512966,"{'latitude': '40.783585352', 'longitude': '-73.950512966'}",PATROL BORO MAN NORTH,45-64,WHITE,F,10099,23,4,1,11,2013-08-03,07:30:00,NA,,,2013.0
247014591,2013-04-09,22:00:00,9,2013-04-11,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,NA,987470,205834,,,,40.73165109,-73.988383154,"{'latitude': '40.73165109', 'longitude': '-73.988383154'}",PATROL BORO MAN SOUTH,18-24,WHITE,F,11724,70,4,50,5,2013-04-09,22:30:00,NA,,,2013.0
286731992,2013-08-26,14:00:00,44,2013-08-30,107,BURGLARY,221,"BURGLARY,RESIDENCE,DAY",COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,NA,1005391,245671,,,,40.840968298,-73.923595867,"{'latitude': '40.840968298', 'longitude': '-73.923595867'}",PATROL BORO BRONX,,UNKNOWN,D,10930,50,5,42,27,2013-08-30,08:30:00,NA,,,2013.0
227873219,2013-09-25,20:30:00,13,2013-09-25,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,MANHATTAN,FRONT OF,OTHER,N.Y. POLICE DEPT,0,,NA,986177,209816,,BLACK,M,40.742581073,-73.993047372,"{'latitude': '40.742581073', 'longitude': '-73.993047372'}",PATROL BORO MAN SOUTH,25-44,ASIAN / PACIFIC ISLANDER,F,12074,12,4,10,7,2013-09-25,20:35:00,NA,,,2013.0
288350787,2013-06-14,19:30:00,30,2013-06-14,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,NA,998758,240846,,UNKNOWN,U,40.827738453,-73.947578589,"{'latitude': '40.827738453', 'longitude': '-73.947578589'}",PATROL BORO MAN NORTH,18-24,BLACK,F,12428,37,4,23,19,2013-06-14,19:35:00,NA,,,2013.0
202049747,2013-09-24,17:15:00,41,2013-09-24,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,BRONX,INSIDE,CHAIN STORE,N.Y. POLICE DEPT,0,,NA,1011589,237996,,,,40.819885621,-73.901226998,"{'latitude': '40.819885621', 'longitude': '-73.901226998'}",PATROL BORO BRONX,,UNKNOWN,D,10937,8,5,43,24,2013-09-24,17:30:00,NA,,,2013.0
230300879,2013-08-23,16:30:00,42,2013-08-26,107,BURGLARY,223,"BURGLARY,RESIDENCE,NIGHT",COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,NA,1012461,242851,,,,40.833208464,-73.898056095,"{'latitude': '40.833208464', 'longitude': '-73.898056095'}",PATROL BORO BRONX,,UNKNOWN,D,10934,34,5,42,25,2013-08-25,17:00:00,NA,,,2013.0
